"","ERG_d_ITN0","ERG_r_ITN0","gamman","bioassay_surv","gamman2"
"1",0.523727286904735,0.473712249271696,3.80871490794686,0,3.80871490794686
"2",0.523509915054828,0.473918588590261,3.80408263961568,0.01,3.80871490794686
"3",0.52328967393846,0.47412763251812,3.79939523570113,0.02,3.80871490794686
"4",0.523066497285455,0.474339443167213,3.79465151696032,0.03,3.80871490794686
"5",0.522840316616883,0.474554084709413,3.78985026721157,0.04,3.80871490794686
"6",0.522611061148197,0.474771623466461,3.78499023179704,0.05,3.80871490794686
"7",0.522378657687072,0.474992128004801,3.78007011596518,0.06,3.80871490794686
"8",0.5221430305256,0.475215669235629,3.77508858316775,0.07,3.80871490794686
"9",0.521904101326472,0.475442320520506,3.77004425326609,0.08,3.80871490794686
"10",0.521661789002736,0.475672157782904,3.7649357006407,0.09,3.80871490794686
"11",0.521416009590698,0.475905259626084,3.75976145219787,0.1,3.80871490794686
"12",0.521166676115498,0.476141707457744,3.75451998526658,0.11,3.80871490794686
"13",0.520913698448847,0.476381585621903,3.74920972537834,0.12,3.80871490794686
"14",0.520656983158382,0.476624981538519,3.74382904392211,0.13,3.80871490794686
"15",0.520396433348035,0.47687198585141,3.73837625566579,0.14,3.80871490794686
"16",0.520131948488784,0.477122692585035,3.73284961613504,0.15,3.80871490794686
"17",0.519863424239072,0.477377199310817,3.72724731883954,0.16,3.80871490794686
"18",0.519590752254153,0.477635607323671,3.72156749233602,0.17,3.80871490794686
"19",0.519313819983521,0.477898021829516,3.71580819711618,0.18,3.80871490794686
"20",0.519032510455547,0.478164552144586,3.7099674223071,0.19,3.80871490794686
"21",0.51874670204833,0.478435311907428,3.70404308217033,0.2,3.80871490794686
"22",0.518456268245715,0.478710419304573,3.69803301238479,0.21,3.80871490794686
"23",0.518161077377311,0.478989997310937,3.69193496609735,0.22,3.80871490794686
"24",0.517860992341245,0.479274173946114,3.68574660972334,0.23,3.80871490794686
"25",0.517555870308276,0.47956308254782,3.67946551847798,0.24,3.80871490794686
"26",0.517245562405743,0.479856862063889,3.67308917161768,0.25,3.80871490794686
"27",0.516929913379709,0.480155657364322,3.6666149473684,0.26,3.80871490794686
"28",0.516608761233468,0.480459619575067,3.66004011751609,0.27,3.80871490794686
"29",0.516281936840429,0.480768906435343,3.65336184163186,0.28,3.80871490794686
"30",0.515949263529178,0.481083682680529,3.646577160902,0.29,3.80871490794686
"31",0.515610556638312,0.481404120452811,3.6396829915299,0.3,3.80871490794686
"32",0.51526562303838,0.481730399742033,3.6326761176739,0.31,3.80871490794686
"33",0.514914260617988,0.482062708859423,3.62555318388127,0.32,3.80871490794686
"34",0.514556257730835,0.482401244947172,3.61831068697477,0.33,3.80871490794686
"35",0.514191392600087,0.482746214527134,3.61094496734359,0.34,3.80871490794686
"36",0.513819432676095,0.483097834092288,3.60345219958533,0.35,3.80871490794686
"37",0.513440133943061,0.483456330744991,3.59582838244044,0.36,3.80871490794686
"38",0.513053240169721,0.483821942886495,3.58806932795379,0.37,3.80871490794686
"39",0.512658482098592,0.484194920962729,3.58017064979136,0.38,3.80871490794686
"40",0.512255576567671,0.484575528271885,3.57212775063156,0.39,3.80871490794686
"41",0.51184422555779,0.484964041840025,3.56393580854207,0.4,3.80871490794686
"42",0.511424115157983,0.485360753371646,3.5555897622428,0.41,3.80871490794686
"43",0.510994914440337,0.485765970282985,3.54708429514369,0.42,3.80871490794686
"44",0.51055627423472,0.486180016826782,3.53841381803336,0.43,3.80871490794686
"45",0.510107825792575,0.486603235318341,3.52957245027936,0.44,3.80871490794686
"46",0.509649179327623,0.487035987473937,3.52055399938395,0.45,3.80871490794686
"47",0.509179922419688,0.487478655874073,3.5113519387195,0.46,3.80871490794686
"48",0.508699618266082,0.487931645565735,3.50195938324594,0.47,3.80871490794686
"49",0.508207803762867,0.488395385819664,3.49236906298628,0.48,3.80871490794686
"50",0.507703987395885,0.488870332060895,3.48257329400749,0.49,3.80871490794686
"51",0.507187646918635,0.489356967993309,3.47256394661951,0.5,3.80871490794686
"52",0.506658226790811,0.489855807941933,3.46233241046608,0.51,3.80871490794686
"53",0.506115135347488,0.490367399440132,3.45186955613556,0.52,3.80871490794686
"54",0.505557741664494,0.490892326092864,3.44116569286648,0.53,3.80871490794686
"55",0.504985372080258,0.491431210751887,3.43021052186103,0.54,3.80871490794686
"56",0.504397306328286,0.491984719044334,3.41899308464713,0.55,3.80871490794686
"57",0.503792773227118,0.4925535633026,3.40750170584443,0.56,3.80871490794686
"58",0.503170945866037,0.49313850695124,3.39572392958986,0.57,3.80871490794686
"59",0.502530936214524,0.493740369415749,3.38364644875939,0.58,3.80871490794686
"60",0.501871789071252,0.494360031629072,3.37125502598251,0.59,3.80871490794686
"61",0.501192475253732,0.494998442224793,3.35853440527832,0.6,3.80871490794686
"62",0.500491883912122,0.495656624521766,3.34546821294228,0.61,3.80871490794686
"63",0.499768813829377,0.496335684423975,3.33203884607197,0.62,3.80871490794686
"64",0.499021963544052,0.497036819382528,3.31822734683108,0.63,3.80871490794686
"65",0.498249920100531,0.497761328594862,3.30401326019904,0.64,3.80871490794686
"66",0.497451146192746,0.498510624650702,3.28937447252723,0.65,3.80871490794686
"67",0.496623965419797,0.499286246876817,3.27428702769905,0.66,3.80871490794686
"68",0.495766545312784,0.500089876685137,3.25872491704859,0.67,3.80871490794686
"69",0.494876877718531,0.500923355294283,3.24265983839683,0.68,3.80871490794686
"70",0.493952756033502,0.501788704276546,3.22606091857402,0.69,3.80871490794686
